,time,open,high,low,close,volume
296,2014-03-18,602.01,603.21,597.78,599.85,204001807
297,2014-03-19,600.73,605.91,600.42,605.59,192008350
298,2014-03-20,607.39,608.29,600.03,600.26,191516978
299,2014-03-21,600.48,607.22,600.26,601.75,229955020
300,2014-03-24,606.71,609.2,604.18,607.55,194824295
301,2014-03-25,607.12,609.01,604.38,601.85,261146500
302,2014-03-26,603.59,603.68,587.52,588.06,259085050
303,2014-03-27,588.33,591.7,582.81,590.14,151135930
304,2014-03-28,592.68,595.7,590.59,594.29,122367440
305,2014-03-31,594.29,597.22,591.57,591.57,119514830
306,2014-04-01,590.93,593.03,582.3,583.85,173005169
307,2014-04-02,584.99,586.5,574.4,581.67,146779523
308,2014-04-03,584.68,590.91,582.83,589.44,105522983
309,2014-04-04,589.9,593.46,588.34,593.04,119718455
310,2014-04-07,595.72,602.55,595.35,600.57,115651254
311,2014-04-08,601.39,603.25,598.52,603.25,127466174
312,2014-04-10,605.4,608.89,600.43,601.33,114247627
313,2014-04-11,598.36,602.01,594.96,600.57,106926180
314,2014-04-14,602.51,602.7,596.05,596.11,128080220
315,2014-04-15,595.81,597.99,586.09,586.09,131668530
316,2014-04-16,583.64,585.51,567.61,574.29,149242265
317,2014-04-17,580.26,583.51,575.83,580.31,117693160
318,2014-04-18,580.89,580.89,565.33,565.33,116972898
319,2014-04-21,564.29,568.44,558.14,558.14,95569640
320,2014-04-22,560.63,569.87,556.47,569.87,99105330
321,2014-04-23,569.83,573.39,567.04,569.36,71202652
322,2014-04-24,568.41,571.57,566.94,570.46,53799229
323,2014-04-25,571.78,580.74,571.71,578.92,64320453
324,2014-04-28,579.29,580.7,573.1,573.1,56053730
325,2014-04-29,571.54,578.21,570.64,578.0,50435143
326,2014-05-05,578.45,580.11,564.47,564.85,76075700
327,2014-05-06,561.55,562.36,545.97,555.11,100641650
328,2014-05-07,558.04,561.56,553.21,559.97,52416806
329,2014-05-08,550.75,550.75,525.37,527.09,146492388
330,2014-05-09,522.82,542.56,522.7,542.46,118856310
331,2014-05-12,536.82,536.82,512.25,517.05,98460848
332,2014-05-13,509.11,518.45,508.51,513.91,98640761
333,2014-05-14,510.16,529.59,509.82,529.53,108324190
334,2014-05-15,529.25,537.27,512.41,524.05,132543153
