,ticker,yearReport,lengthReport,Minority Interest,Minority Interest,Minority Interest,Minority Interest,Net Profit/Loss before tax,Provision for credit losses,Provision for credit losses,Revenue YoY (%),Revenue (Bn. VND),Attribute to parent company (Bn. VND),Attribute to parent company YoY (%),Financial Income,Financial Income,Interest Expenses,Interest Expenses,Net Sales,Net Sales,Gross Profit,Gross Profit,Financial Expenses,Financial Expenses,General & Admin Expenses,General & Admin Expenses,Operating Profit/Loss,Operating Profit/Loss,Net income from associated companies,Other Income/Expenses,Cost of Sales,Selling Expenses,Selling Expenses,Sales,Sales deductions,Gain/(loss) from joint ventures,Other income,Net other income/expenses,Profit before tax,Tax For the Year,Business income tax - current,Business income tax - deferred,Net Profit For the Year,Attributable to parent company
32,AAA,2016,2,0,228559195,0,228559195,38704996562,536604972,536604972,0.39985249181406185,517208434394,33658682426,4.971000739508474,11943366860,11943366860,-7087632513,-7087632513,517094984795,517094984795,69292888093,69292888093,-9270588887,-9270588887,-16733994316,-16733994316,38035077932,38035077932,0,-9326004,-447802096702,-12901285065,-12901285065,517208434394,-113449599,-4295308753,679244634,669918630,38704996562,-4817754941,-4794848948,-22905993,33887241621,33658682426
33,AAA,2016,1,0,101391517,0,101391517,32024249185,0,0,0.3323662152706199,424294778325,28358077594,5.262853961174696,4088654022,4088654022,-6293816656,-6293816656,423552742882,423552742882,56164070769,56164070769,-9554498445,-9554498445,-11623011040,-11623011040,31269385733,31269385733,0,-1344008447,-367388672113,-10229653180,-10229653180,424294778325,-742035443,2423823607,2098871899,754863452,32024249185,-3564780074,-3687913152,123133078,28459469111,28358077594
34,AAA,2015,4,0,126176723,0,126176723,27232902909,0,0,0.027333037108987653,459973169805,21177198476,32.02009347020354,4004241859,4004241859,-6473520309,-6473520309,459620575013,459620575013,56863595384,56863595384,-14049073571,-14049073571,-11918055344,-11918055344,26957473317,26957473317,0,-545471,-402756979629,-9850728132,-9850728132,459973169805,-352594792,1907493121,275975063,275429592,27232902909,-5929527710,-5912736437,-16791273,21303375199,21177198476
35,AAA,2015,3,0,37158472,0,37158472,22683233360,0,0,0.14305004012378786,468150054175,19854016189,0.21347190576706337,5885459644,5885459644,-6541008895,-6541008895,467440978697,467440978697,59413244364,59413244364,-16154571135,-16154571135,-8576936315,-8576936315,21271926262,21271926262,0,410000826,-408027734333,-21069377932,-21069377932,468150054175,-709075478,1774107636,1001306272,1411307098,22683233360,-2792058699,-2800103085,8044386,19891174661,19854016189
36,AAA,2015,2,0,153568457,0,153568457,6309730982,0,0,-0.03814073898097805,369473524831,5637025332,-0.6315149929565205,8503423258,8503423258,-5519155453,-5519155453,369107895242,369107895242,45810887147,45810887147,-12703391558,-12703391558,-10004426099,-10004426099,6417677135,6417677135,0,-174801613,-323297008095,-22891956537,-22891956537,369473524831,-365629589,-2296859076,66855460,-107946153,6309730982,-519137193,-559395891,40258698,5790593789,5637025332
37,AAA,2015,1,9604888168,216038960,9604888168,216038960,-5610944697,0,0,-0.015122220015785871,318452069305,-6652369012,-1.453682643629541,4001842674,4001842674,-5532126701,-5532126701,318379498949,318379498949,27720064271,27720064271,-7084720055,-7084720055,-11108992506,-11108992506,-7889793627,-7889793627,1997132069,-238815357,-290659434678,-21417988011,-21417988011,318452069305,-72570356,0,520532218,281716861,-5610944697,-825385355,-757399238,-67986117,-6436330052,-6652369012
38,AAA,2014,4,9388849208,183862481,9388849208,183862481,251528525,162105381,162105381,0.36246567588831724,447735206783,641342778,-0.9437004831279705,2848872567,2848872567,-6059642453,-6059642453,444272916182,444272916182,38663726846,38663726846,-9132225484,-9132225484,-10415257483,-10415257483,-1835834942,-1835834942,1532681484,-224203863,-405609189336,-23800951388,-23800951388,447735206783,-3462290601,0,778885846,554681983,251528525,573676734,722835421,-149158687,825205259,641342778
39,AAA,2014,3,9204986727,220089007,9204986727,220089007,20249000210,0,0,0.3236437870317803,409562169408,16361331560,0.24050514146271662,2610326060,2610326060,-5681141129,-5681141129,409307011959,409307011959,51291235762,51291235762,-7120855415,-7120855415,-8460664358,-8460664358,17765715583,17765715583,1636597222,-32705267,-358015776197,-20554326466,-20554326466,409562169408,-255157449,0,879392672,846687405,20249000210,-3667579643,-3668547843,968200,16581420567,16361331560
40,AAA,2014,2,8984897720,232165530,8984897720,232165530,18764418346,0,0,0.3892002272485897,384124309870,15297841769,0.16406498586359486,1739069197,1739069197,-2416397337,-2416397337,383850285048,383850285048,48442418067,48442418067,-6340536041,-6340536041,-8264977120,-8264977120,18713132454,18713132454,1379509033,-4844477080,-335407866981,-16862841649,-16862841649,384124309870,-274024822,0,3516253939,-1328223141,18764418346,-3234411047,-3322791878,88380831,15530007299,15297841769
41,AAA,2014,1,8752732190,181196998,8752732190,181196998,17935357296,0,0,0.32447849395810946,323341713842,14663044984,-0.14815130526163087,1133703473,1133703473,-3030038742,-3030038742,323213395902,323213395902,44347525291,44347525291,-3303170182,-3303170182,-8836146390,-8836146390,15622247430,15622247430,1733779533,-422868202,-278865870611,-17719664762,-17719664762,323341713842,-128317940,0,1002198535,579330333,17935357296,-3091115314,-2906962215,-184153099,14844241982,14663044984
42,AAA,2013,4,8571535190,20694621,8571535190,20694621,16779278447,0,0,0.0,328621274434,11391621343,0.0,1584829239,1584829239,-2826480156,-2826480156,328467948047,328467948047,42058468225,42058468225,-3335810779,-3335810779,-9436847848,-9436847848,13918754856,13918754856,2221591629,-97842230,-286409479822,-16951883981,-16951883981,328621274434,-153326387,0,736774193,638931963,16779278448,-5366962484,-5549247880,182285396,11412315964,11391621343
43,AAA,2013,3,8550840569,170862399,8550840569,170862399,16840722597,0,0,0.0,309420233314,13189249293,0.0,1069569982,1069569982,-4261851028,-4261851028,309036475445,309036475445,43723645338,43723645338,-4881881136,-4881881136,-9410857443,-9410857443,14706033352,14706033352,1490629320,-3436759,-265312830107,-15794443389,-15794443389,309420233314,-383757869,0,647496684,644059925,16840722597,-3480610905,-3374827439,-105783466,13360111692,13189249293
44,AAA,2013,2,8379978170,139671037,8379978170,139671037,16229996601,0,0,0.0,276507520180,13141742046,0.0,1799374307,1799374307,-4795952169,-4795952169,276072281125,276072281125,44652674828,44652674828,-8088263665,-8088263665,-8811398738,-8811398738,14469473058,14469473058,1137021975,-17147551,-231419606297,-15082913674,-15082913674,276507520180,-435239055,0,640649119,623501568,16229996601,-2948583518,-2886216758,-62366760,13281413083,13141742046
45,AAA,2013,1,8240307134,204496818,8240307134,204496818,21236787206,0,0,0.0,244127568184,17213203559,0.0,2156111356,2156111356,-5222906057,-5222906057,243931078252,243931078252,48100390346,48100390346,-5329187934,-5329187934,-8679192279,-8679192279,20724970667,20724970667,0,-1364651,-195830687906,-15523150822,-15523150822,244127568184,-196489932,0,513181190,511816539,21236787206,-3819086829,-3903784899,84698070,17417700377,17213203559
