"Date","Price","Open","High","Low","Change %"
"02/10/2023","3.974","4.008","4.008","3.974","-0.85%"
"02/09/2023","4.008","4.013","4.013","4.008","-0.12%"
"02/08/2023","4.013","4.022","4.022","4.013","-0.22%"
"02/07/2023","4.022","4.017","4.022","4.017","0.12%"
"02/06/2023","4.017","4.002","4.017","4.002","0.37%"
"02/03/2023","4.002","4.018","4.018","4.002","-0.40%"
"02/02/2023","4.018","4.177","4.177","4.018","-3.81%"
"02/01/2023","4.177","4.491","4.491","4.177","-6.99%"
"01/31/2023","4.491","4.564","4.564","4.491","-1.60%"
"01/30/2023","4.564","4.600","4.600","4.564","-0.78%"
"01/27/2023","4.600","4.636","4.636","4.600","1.41%"
"01/26/2023","4.536","4.536","4.536","4.536","0.00%"
"01/25/2023","4.536","4.536","4.536","4.536","0.00%"
"01/24/2023","4.536","4.536","4.536","4.536","0.00%"
"01/23/2023","4.536","4.536","4.536","4.536","0.00%"
"01/20/2023","4.536","4.536","4.536","4.536","-2.16%"
"01/19/2023","4.636","4.636","4.636","4.636","-0.11%"
"01/18/2023","4.641","4.641","4.641","4.641","-1.15%"
"01/17/2023","4.695","4.695","4.695","4.695","-0.21%"
"01/16/2023","4.705","4.705","4.705","4.705","0.00%"
"01/13/2023","4.705","4.705","4.705","4.705","-0.49%"
"01/12/2023","4.728","4.728","4.728","4.728","-1.81%"
"01/11/2023","4.815","4.815","4.815","4.815","-0.08%"
"01/10/2023","4.819","4.819","4.819","4.819","-0.39%"
"01/09/2023","4.838","4.838","4.838","4.838","-0.39%"
"01/06/2023","4.857","4.857","4.857","4.857","-0.16%"
"01/05/2023","4.865","4.865","4.865","4.865","-0.45%"
"01/04/2023","4.887","4.887","4.887","4.887","0.08%"
"01/03/2023","4.883","4.887","4.887","4.883","2.02%"
"01/02/2023","4.786","4.786","4.786","4.786","-2.04%"
"12/30/2022","4.886","4.886","4.886","4.886","-0.10%"
"12/29/2022","4.891","4.891","4.891","4.891","-0.71%"
"12/28/2022","4.926","4.926","4.926","4.926","0.00%"
"12/27/2022","4.926","4.926","4.926","4.926","0.00%"
"12/26/2022","4.926","4.926","4.926","4.926","0.22%"
"12/23/2022","4.915","4.926","4.926","4.915","-0.49%"
"12/22/2022","4.939","4.939","4.939","4.939","-0.10%"
"12/21/2022","4.944","4.944","4.944","4.944","0.00%"
"12/20/2022","4.944","4.944","4.944","4.944","-0.18%"
"12/19/2022","4.953","4.953","4.953","4.953","-0.06%"
"12/16/2022","4.956","4.956","4.956","4.956","0.00%"
"12/15/2022","4.956","4.956","4.956","4.956","-0.02%"
"12/14/2022","4.957","4.957","4.957","4.957","0.00%"
"12/13/2022","4.957","4.957","4.957","4.957","0.00%"
"12/12/2022","4.957","4.957","4.957","4.957","0.00%"
"12/09/2022","4.957","4.957","4.957","4.957","-0.02%"
"12/08/2022","4.958","4.958","4.958","4.958","-0.18%"
"12/07/2022","4.967","4.967","4.967","4.967","-0.06%"
"12/06/2022","4.970","4.970","4.970","4.970","0.00%"
